case_id,tooth_id,total_expected,total_present,min_valid,margin_floor,margin_min,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
012,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
012,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
012,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
013,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
013,t31,7,0,6,0.55,,,0.25,0.9999998807907104,True,False,valid;margin_missing
013,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
013,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
013,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
